Symbol,Company,Date,Open,High,Low,Close,Adj Close,Volume,Spread High-Low,Spread Close-Open
TMO,Thermo Fisher Scientific Inc Common Stock,2022-08-15,603.0,606.10498046875,599.1500244140625,603.6300048828125,603.6300048828125,569922.0,6.9549560546875,0.6300048828125
ASML,ASML Holding N.V. New York Registry Shares,2022-08-15,569.1099853515625,577.6199951171875,567.969970703125,576.22998046875,576.22998046875,652705.0,9.6500244140625,7.1199951171875
TM,Toyota Motor Corporation Common Stock,2022-08-15,160.89999389648438,160.75999450683594,159.46499633789062,160.6199951171875,160.6199951171875,120379.0,1.2949981689453125,-0.279998779296875
MRK,Merck & Company Inc. Common Stock (new),2022-08-15,90.8249969482422,90.83999633789062,89.8989028930664,90.61000061035156,90.61000061035156,4337212.0,0.9410934448242188,-0.2149963378906392
AVGO,Broadcom Inc. Common Stock,2022-08-15,554.22998046875,558.8682250976562,550.5,558.6599731445312,558.6599731445312,976166.0,8.36822509765625,4.42999267578125
DHR,Danaher Corporation Common Stock,2022-08-15,297.0400085449219,303.82000732421875,296.7099914550781,301.510009765625,301.510009765625,1566091.0,7.110015869140625,4.470001220703125
AZN,AstraZeneca PLC American Depositary Shares,2022-08-15,67.25,67.37000274658203,66.48999786376953,66.87999725341797,66.87999725341797,3865884.0,0.8800048828125,-0.3700027465820312
MCD,McDonald's Corporation Common Stock,2022-08-15,262.2099914550781,265.5899963378906,261.260009765625,264.8900146484375,264.8900146484375,1553122.0,4.329986572265625,2.680023193359375
VZ,Verizon Communications Inc. Common Stock,2022-08-15,45.02999877929688,45.63999938964844,44.93999862670898,45.51900100708008,45.51900100708008,10647387.0,0.7000007629394602,0.489002227783196
DIS,Walt Disney Company (The) Common Stock,2022-08-15,121.0,125.9499969482422,121.0,124.0999984741211,124.0999984741211,21803214.0,4.949996948242202,3.0999984741210938
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,2022-08-15,52.150001525878906,53.119998931884766,51.76499938964844,52.97999954223633,52.97999954223633,3350586.0,1.354999542236328,0.8299980163574219
ADBE,Adobe Inc. Common Stock,2022-08-15,445.0700073242188,450.8150024414063,442.1600036621094,450.0400085449219,450.0400085449219,1904208.0,8.654998779296932,4.970001220703068
ACN,Accenture plc Class A Ordinary Shares (Ireland),2022-08-15,317.67999267578125,320.9599914550781,317.57000732421875,320.4800109863281,320.4800109863281,806622.0,3.389984130859375,2.800018310546875
ABT,Abbott Laboratories Common Stock,2022-08-15,111.30999755859376,112.3000030517578,111.03500366210938,112.00499725341795,112.00499725341795,1745357.0,1.2649993896484233,0.6949996948241903
CSCO,Cisco Systems Inc. Common Stock (DE),2022-08-15,46.38999938964844,46.4900016784668,46.025001525878906,46.459999084472656,46.459999084472656,11057779.0,0.4650001525878906,0.0699996948242187
NVS,Novartis AG Common Stock,2022-08-15,85.26000213623047,85.63500213623047,85.0250015258789,85.38999938964844,85.38999938964844,1178061.0,0.6100006103515625,0.1299972534179687
CRM,Salesforce Inc. Common Stock,2022-08-15,189.0500030517578,192.10499572753903,188.8999938964844,191.3800048828125,191.3800048828125,2096967.0,3.2050018310546307,2.3300018310546875
TMUS,T-Mobile US Inc. Common Stock,2022-08-15,145.99000549316406,146.88999938964844,145.5399932861328,146.6300048828125,146.6300048828125,1475373.0,1.350006103515625,0.6399993896484375
NKE,Nike Inc. Common Stock,2022-08-15,115.4499969482422,116.58000183105467,114.8499984741211,116.43000030517578,116.43000030517578,2719332.0,1.7300033569335795,0.9800033569335797
UPS,United Parcel Service Inc. Common Stock,2022-08-15,203.83999633789065,206.07000732421875,203.2899932861328,205.8600006103516,205.8600006103516,1196710.0,2.780014038085937,2.020004272460937
CMCSA,Comcast Corporation Class A Common Stock,2022-08-15,39.59299850463867,40.6150016784668,39.400001525878906,40.57500076293945,40.57500076293945,14972398.0,1.2150001525878906,0.9820022583007812
